SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Glass Transition Temperature (°„C),¿¥‘¥
O=C([*])C(C)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,34.1,10.1007_s13726-018-0604-y_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,C=C(C(OCC1CO1)=O)C,,,,142,10.1002_pola.27751_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Si]=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,O=[Ti]=O,,48,10.3390_jcs3020040_part_5.txt_∂Œ1_Material3
[*]CC([*])Cl,O=[Si]=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,O=[Ti]=O,,45,10.3390_jcs3020040_part_5.txt_∂Œ1_Material2
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CCC1C([*])C2CCC1C2,,,,85,10.3144_expresspolymlett.2020.31_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=[Si]=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,70,10.1002_pc.25995_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[C],S=[Mo]=S,,,60,10.1016_j.matchemphys.2012.12.035_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,,58,10.3390_app11136218_part_2.txt_∂Œ1_Material2
OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,,55,10.1016_j.tetlet.2016.01.069_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Si]=O,,60,10.4028_www.scientific.net_msf.947.77_part_1.txt_∂Œ1_Material1
[*]CC(C)(C(OCCO)=O)[*],[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,,75,10.1021_acsami.5b01939_part_4.txt_∂Œ1_Material2
O=C([*])CCCCCN[*],[*]C/C=C/CCC([*])C#N,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,40,10.1002_app.33044_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C(C)C[*],[*]C(C)C[*],,66.67,10.1002_app.49850_part_2.txt_∂Œ1_Material1
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,[H][Si]([H])([H])[H],,,,73.63,10.1109_tdei.2012.6180228_part_2.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Si]=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,O=[Ti]=O,,50,10.3390_jcs3020040_part_5.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CCCC([*])C(OC)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,152.4,10.1007_s10853-018-2749-7_part_2.txt_∂Œ1_Material4
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(C1=CC=CC=C1)[*],,,,147.4,10.1016_j.apsusc.2018.01.254_part_4.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC(CO)CO,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,83.6,10.3390_ma12101684_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,,121.59,10.1016_j.compositesb.2019.02.044_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Ti]=O,,,,40,10.1039_c1jm13467a_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C=C(C(OCC1CO1)=O)C,,,,56.13,10.1002_app.41518_part_3.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[Ti](OCCCC)(OCCCC)(OCCCC)OCCCC,,,,36,10.1080_03602559.2015.1132455_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(N)N,,,,100,10.1177_1528083718798636_part_2.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,OP(O)(O)=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,60.7,10.3390_polym13050740_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,,60,10.1080_03602559.2010.482069_part_1.txt_∂Œ1_Material1
O=C(O[*])CCCCCCCCCCN[*],O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,,,,56,10.1002_app.39160_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]CC([*])N1CCCC1=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,35,10.1208_s12249-010-9378-z_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCC(CCCCCC)C[*],,,,100,10.1016_j.conbuildmat.2017.07.052_part_1.txt_∂Œ1_Material2
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],[*]CC[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,131.2,10.14233_ajchem.2024.30711_OA_part_2.txt_∂Œ1_Material1
OP(O)(O)=O,[*]CCCC(C(O)=O)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,82.07,10.1002_vnl.21485_part_2.txt_∂Œ1_Material1
[*]C(F)(C(F)([*])F)F,C=C([CH3])C(=O)O[CH3],[Ag],,,145,10.1016_j.apsusc.2018.12.229_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C1=CC=CC=C1)[*],,,115.4,10.1002_pat.1567_part_1.txt_∂Œ1_Material3
O=C([*])C(C)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,,61.8,10.1007_s10973-021-10901-4_part_1.txt_∂Œ1_Material1
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,C[N+](CCO)(CCO)[3H],,,60,10.1002_app.48888_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC(O)CO,,,95,10.1021_acsapm.0c00433_part_4.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C(CCCCC(OCCCCO[*])=O)=O,OCC(O)CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,58,10.4028_www.scientific.net_msf.695.178_part_1.txt_∂Œ1_Material2
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Al]O[Al]=O,,,,157,10.1007_s11029-019-09791-3_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]CC(CC[*])O,,,5,10.1002_app.37957_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C(CCCCCO[*])=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,55,10.1016_j.foodhyd.2018.04.045_part_2.txt_∂Œ1_Material1
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,C=C([CH3])C(=O)O[CH3],,,,107.4,10.1080_03602550903413979_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]CC(CC[*])O,,,5,10.1002_app.37957_part_1.txt_∂Œ1_Material2
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC(O)CO,,,,64,10.1016_j.carbpol.2010.03.005_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,O=[Ti]=O,,,55,10.1061_(asce)gt.1943-5606.0001435_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[Zn]=O,,,,64,10.3390_molecules26071967_part_2.txt_∂Œ1_Material2
[*]C(F)(C(F)([*])F)F,,,,,130.95,10.1088_2053-1591_aa68b6_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[Cu]=O,,,,60,10.1002_pc.25182_part_1.txt_∂Œ1_Material2
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,45,10.1021_acs.biomac.9b01255_part_8.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,,111.42,10.1016_j.polymertesting.2018.04.040_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=[Ti]=O,,,124.28,10.1016_j.jallcom.2010.09.051_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]NC(C(O)=O)CCC([*])=O,,,,50.4,10.1016_j.polymer.2014.11.016_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CC[*],[Li]Cl,O=C1C=CC(O1)=O.C=C,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],72.6,10.3390_ma10070808_part_2.txt_∂Œ1_Material1
[*]C1OC(CCC)OC(C[*])C1,[H]O[H],,,,64,10.1002_app.47230_part_1.txt_∂Œ1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,,,,67.7,10.1177_0954008314559553_part_2.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[Zn]=O,,,,61.2,10.1177_0731684412446856_part_2.txt_∂Œ1_Material1
[*]CC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,C=C([CH3])C(=O)OC([CH3])[CH3],,,95,10.3390_polym13152564_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,O=C([*])C(C)O[*],,,,64,10.1177_0021998317752227_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,36.52,10.4028_www.scientific.net_msf.1003.213_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[H][Si]([H])([H])[H],,,,55,10.1002_pc.22787_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCCCCOC(CCC([*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C(O)CCCCCCCCCCCCCCCCC,,55,10.1016_j.compositesb.2019.107384_part_3.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,[Zn]=O,,,99.07,10.3390_nano10091797_part_3.txt_∂Œ1_Material4
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,58,10.1007_s10570-011-9515-1_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[Mg]=O,,,,57.34,10.3390_molecules26071967_part_2.txt_∂Œ1_Material3
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O1C(=O)C=CC1=O,,,59.04,10.1155_2015_627268_part_2.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CCC1C([*])C2CCC1C2,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,85.4,10.3390_ma13092165_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C(CCCCCO[*])=O,C=C([CH3])C(=O)OC([CH3])[CH3],[H][O-],,42.55,10.1002_pat.5367_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,60,10.1007_s40033-015-0073-9_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,90,10.1002_pc.23647_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],C=C([CH3])C(=O)OC([CH3])[CH3],,,59.1,10.1002_app.48297_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C([*])C(C)O[*],,61,10.1177_0892705717734600_part_2.txt_∂Œ1_Material1
[*]C(C(OC(CO[*])=O)C)=O,[*]OCC[*],O=[Si]=O,,,31,10.1016_j.actbio.2019.04.015_part_2.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,50,10.1007_s13726-019-00731-5_part_1.txt_∂Œ1_Material4
[*]C(C)C[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,104,10.1007_s10965-019-1784-7_part_3.txt_∂Œ1_Material1
[*]CC(C)(C(OCCO)=O)[*],,,,,53,10.1021_acsami.5b01939_part_3.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],[*]C(CCCCCO[*])=O,O=[Ti]=O,,,85,10.1016_j.compositesb.2014.12.028_part_1.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,110.1,10.1155_2012_457967_part_2.txt_∂Œ1_Material2
O=C(O)C([*])C[*],N#CC(C1=CC=CC=N1)C1=CC=CC=C1,,,,38.8,10.3390_polym12051137_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,77.1,10.1002_app.32532_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,C=C(C(OCC1CO1)=O)C,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,65,10.1007_s00396-017-4225-3_part_2.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[Ti](OCCCC)(OCCCC)(OCCCC)OCCCC,,,,116.3,10.1002_app.50685_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,61,10.1515_polyeng-2017-0059_part_2.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,45,10.1016_j.carbpol.2015.12.057_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,50,10.1016_j.polymdegradstab.2017.05.029_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Si]=O,,,59.3,10.1002_fam.2696_part_1.txt_∂Œ1_Material5
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,Cl[Ca]Cl,,,,153.92,10.3390_ijms19113309_part_2.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,,3.1,10.1002_app.49713_part_2.txt_∂Œ1_Material1
C/C(C[*])=C/C[*],[*]C(C)C[*],O=[Si]=O,,,107.6,10.1002_pc.22331_part_2.txt_∂Œ1_Material1
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,OP(O)(O)=O,[*]OCC[*],[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO,,48,10.1080_19443994.2015.1084597_part_3.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,58.1,10.1016_j.compositesb.2020.108467_part_4.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,,61.3,10.1166_jnn.2011.3955_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,[*]CC(C(OC)=O)(CC(C/C=C/CCC(C1=CC=CC=C1)[*])C#N)C,,,,67.76,10.1007_s10965-012-9993-3_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC[*],,,,55,10.4028_www.scientific.net_amm.754-755.54_part_1.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,85,10.1007_s10570-015-0798-5_part_6.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,[*]CCCC([*])C(OC)=O,,,63.7,10.3390_polym11050771_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,84,10.1016_j.compositesb.2014.10.010_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,,64.4,10.3144_expresspolymlett.2020.76_part_3.txt_∂Œ1_Material1
[*]CC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C=C(C(OCC1CO1)=O)C,O=C1C=CC(O1)=O.C=C,,74.1,10.1002_app.41494_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C[N+](CCO)(CCO)[3H],,,,79.7,10.1002_app.44779_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,60,10.1002_app.50253_part_1.txt_∂Œ1_Material1
[*]CC(OC(O[*])=O)C,C=C([CH3])C(=O)O[CH3],C=C(C(OCC1CO1)=O)C,,,38,10.1007_s13233-013-1159-6_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,C=C([CH3])C(=O)O[CH3],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,83,10.1016_j.carbpol.2021.117704_part_2.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,29.5,10.1016_j.foodhyd.2011.01.007_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]CC([*])N1CCCC1=O,,,,100.3,10.1007_s10965-018-1571-x_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,31,10.1002_pc.23350_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,117,10.1177_0967391120976270_part_2.txt_∂Œ1_Material3
OP(O)(O)=O,[*]OCCCCOC(CCC([*])=O)=O,[*]OCCCCOC(CCC([*])=O)=O,,,81.6,10.1007_s10924-012-0516-4_part_2.txt_∂Œ1_Material4
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Ti]=O,[Ag],C[Si](O[*])(C)[*],,24.02,10.1007_s11696-018-0502-y_part_3.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(O)CO,CCCCCCCCCCCCOS([O-])(=O)=O.[Na+],,,54.62,10.1155_2015_763931_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],NC1=NC2=C(N=CN2C2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]2O)C(=O)N1,,,,149,10.1016_j.compscitech.2019.107862_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]O[C@@]([H])(C)C(O[C@](C)([H])C([*])=O)=O,,,,88.6,10.1002_app.48970_part_2.txt_∂Œ1_Material1
C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,9,10.1002_pen.25620_part_3.txt_∂Œ1_Material1
