SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Melting Temperature (°„C),¿¥‘¥
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O,OCC(O)CO,,138.76,10.1016_j.fpsl.2016.05.008_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,61.86,10.1007_s13197-020-04904-6_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],[*]C(C)C[*],O=C1C([*])C(CC[*])C(O1)=O,,129.93,10.1007_s12221-017-1106-9_part_1.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],[*]C(CCCCCO[*])=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,60,10.1016_j.rinp.2021.104125_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,172.3,10.1515_epoly-2014-0128_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Cu],,,230,10.1002_pen.24855_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=[Si]=O,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,230,10.1177_0731684415599071_part_1.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,O=C([*])C(C)O[*],,,,168.1,10.1016_j.mtcomm.2021.102407_part_1.txt_∂Œ1_Material1
O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,220,10.3390_polym11040675_part_8.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,,,,,115,10.1016_j.indcrop.2012.12.013_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]CC[*],,122.5,10.1002_app.36633_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,150,10.3390_coatings10040400_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,72.5,10.1007_s11694-020-00581-3_part_2.txt_∂Œ1_Material1
[*]OCC[*],CC1=CC=C(C=C1N=C=O)N=C=O,,,,59.79,10.1080_03602559.2015.1132436_part_7.txt_∂Œ1_Material2
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],,,,150,10.4028_www.scientific.net_msf.819.284_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[Zn]=O,,,,61.33,10.1590_0104-1428.04018_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]C(C)C[*],[H][Si]([H])([H])[H],O=C([O-])[O-].[Ca+2],,120,10.1080_09593330.2021.1946162_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([O-])[O-].[Ca+2],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,162.7,10.1007_s12221-014-1278-5_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C[N+](CCO)(CCO)[3H],C[N+](CCO)(CCO)[3H],C[N+](CCO)(CCO)[3H],60,10.1002_app.38408_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=[Si]=O,O=C([O-])[O-].[Ca+2],,,165.6,10.1002_pen.25404_part_2.txt_∂Œ1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,186.5,10.1002_pi.2801_part_1.txt_∂Œ1_Material1
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,,130,10.1002_app.35244_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(C)C[*],[*]C(C)C[*],,,145,10.1016_j.polymer.2020.122411_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[H][Si]([H])([H])[H],,,,220,10.1016_j.egypro.2014.07.173_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=[Ti]=O,,,,165,10.3389_fchem.2023.1150635_OA_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,,143.8,10.1002_app.41095_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,CC1=CC=C(C=C1N=C=O)N=C=O,OCCCCO,,,40,10.1016_j.apsusc.2018.01.275_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],O=C([*])C(C)O[*],[Ti](OCCCC)(OCCCC)(OCCCC)OCCCC,,122.11,10.4172_2469-9764.1000121_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[C],221.4,10.1155_2015_819580_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC[*],,,,100,10.1007_s10965-013-0303-5_part_2.txt_∂Œ1_Material1
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]C([H])([H])C(O)([H])[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,220,10.1080_10601325.2014.967108_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],OCC(O)CO,Cl[Ca]Cl,,200,10.1016_j.ultsonch.2016.11.010_part_1.txt_∂Œ1_Material1
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],[H]O[H],,,,137.6,10.3390_ma13194370_part_3.txt_∂Œ1_Material1
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,,217,10.1002_pc.26076_part_4.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],O=C(C(C[*])[*])N,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,213,10.1002_pc.23742_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[C],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,165,10.1016_j.jiec.2012.12.024_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Si]=O,,,,63,10.4028_www.scientific.net_msf.974.267_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C[Si](O[*])(C)[*],[H][Si]([H])([H])[H],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,150,10.1016_j.rinp.2018.04.028_part_1.txt_∂Œ1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,175,10.3390_polym12123006_part_2.txt_∂Œ1_Material2
O=C([*])CCCCCN[*],[*]NCCCCCCCCCCCC([*])=O,,,,210,10.1002_pen.25171_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC[*],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,127,10.1002_app.46640_part_1.txt_∂Œ1_Material2
[*]C(C)C[*],O=[Si]=O,,,,160,10.1061_(asce)mt.1943-5533.0001341_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,CCCC[Sn](CCCC)(OC(CCCCCCCCCCC)=O)OC(CCCCCCCCCCC)=O,,,,139,10.3390_polym12051011_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,165,10.1002_pcr2.10010_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(C)C[*],,,,165,10.1016_j.compstruct.2018.07.085_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,C[N+](CCO)(CCO)[3H],,160.1,10.1002_app.32985_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,,,,144.55,10.1002_pc.24488_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,,142,10.1002_pc.22558_part_1.txt_∂Œ1_Material1
C[Si](C)(C[*])O[*],[*]OCC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C=NCCCCCCN=C=O,,58,10.1016_j.carbpol.2010.03.023_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],C(CC=O)CC=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,220,10.3390_polym12061364_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,168.4,10.1016_j.polymer.2012.12.046_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,175.8,10.1002_pc.25284_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,,190,10.1016_j.compositesa.2020.105894_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,170,10.3390_polym12123006_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,,,,166.18,10.3139_217.3286_part_2.txt_∂Œ1_Material1
[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CCCCOCCCCOCCCCOCCCCO[*],,,178.2,10.1021_acs.iecr.7b00904_part_2.txt_∂Œ1_Material2
[*]NC(C)C(N1CCCC1C([*])=O)=O,C(CC=O)CC=O,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,OCC(O)CO,,80.1,10.1016_j.fbio.2016.12.002_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(C)C[*],[C],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,175.3,10.1016_j.compositesb.2019.107717_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,165.4,10.1177_0892705713518792_part_2.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],,,,132,10.1002_mame.202000252_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[C],O=[Fe]O[Fe]=O,,,161,10.1108_prt-08-2014-0066_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,161.53,10.1177_0040517517703600_part_1.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OCCCCOC(CCC([*])=O)=O,,,,85,10.1007_s10570-014-0241-3_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,,150,10.1016_j.foodres.2015.07.019_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,75.61,10.4028_www.scientific.net_msf.1010.142_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]C(C)C[*],,,,124.28,10.4028_www.scientific.net_amr.1159.1_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]C1=C(O)C(C(C)(C)C)=C(O)C(C)=C1SS[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,111.8,10.1007_s13233-015-3155-5_part_1.txt_∂Œ1_Material3
[*]C(C)C[*],[*]CCC(CCCC(CCCC(C[*])C)C)C,,,,165,10.3139_217.2411_part_4.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,251.1,10.1002_app.42608_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(CCCCC(OCCCCOC(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O)=O)=O,[*]C(C)C[*],,,170,10.1177_0040517520984979_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],O=[Si]=O.[Ca]=O,O=[Si]=O,O=[Si]=O,105,10.3390_polym12112624_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Si]=O,[H][Si]([H])([H])[H],,,265,10.1007_s10971-015-3781-6_part_1.txt_∂Œ1_Material1
[*]OCC[*],O=C=NCCCCCCN=C=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,53.9,10.1016_j.tca.2017.10.016_part_1.txt_∂Œ1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C(CCCCC(OCCCCO[*])=O)=O,,,,165,10.3389_fmats.2019.00275_part_1.txt_∂Œ1_Material1
[*]NCCCCCCCCCCCC([*])=O,[*]C(C)C[*],CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,177,10.1115_1.4032977_part_1.txt_∂Œ1_Material1
[*]CCCC([*])OC(C)=O,[*]CC[*],[*]C(C)C[*],,,134.9,10.1177_8756087912441175_part_3.txt_∂Œ1_Material1
[*]C/C=C\CCC(C=C)[*],[H][Si]([H])([H])[H],,,,150,10.1016_j.polymer.2016.01.077_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,161.8,10.1016_j.cej.2014.01.101_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C1C=CC(O1)=O.C=C,,,136,10.1016_j.indcrop.2021.113638_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[Zn]=O,O=C(O)CCCCCCCCCCCCCCCCC,,,125,10.1021_acs.macromol.6b01387_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(C1=CC=CC=C1)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,180,10.3144_expresspolymlett.2015.42_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,,,,180,10.1080_03602559.2013.844833_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,56,10.1177_1045389x15610912_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]C(CCCCCO[*])=O,[*]C(CCCCC(OCCCCO[*])=O)=O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,100,10.1039_c8py01614c_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(C)C[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,167,10.1016_j.matdes.2011.03.021_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(CC)([*])C(OCC1=CC=CC=C1)=O,[*]CCCC([*])C(OC)=O,,,170,10.1021_acsami.5b01145_part_1.txt_∂Œ1_Material1
O=C1C([*])C(CC[*])C(O1)=O,,,,,128.49,10.1002_app.46308_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,202.6,10.1016_j.polymer.2019.121832_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]OCC[*],,,,219.9,10.1002_pen.23923_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,200,10.1016_j.compositesb.2021.109119_part_3.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C/C(C[*])=C/C[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,120,10.1007_s12221-018-7737-7_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]O[C@H](C)CC([*])=O,,,,151.8,10.5552_drind.2018.1737_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=[Si]=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[Ag],175,10.1016_j.progpolymsci.2013.05.014_part_1.txt_∂Œ1_Material1
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,,150,10.1002_pc.26176_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,150,10.1016_j.polymertesting.2014.04.001_part_1.txt_∂Œ1_Material1
